asin,location_and_date,rating,text,title,verified
B09G9CJM1Z,"Reviewed in the United States on October 29, 2023",5.0,"If you're in the market for a tablet with a budget of $300 or less, I highly recommend this option. It stands out as the",just buy it. better than most android tablets,True
B09G9CJM1Z,"Reviewed in the United States on November 9, 2023",5.0,"I bought this iPad as a gift for my mom, and it has been an excellent product so far, she has been using it daily",This iPad Rocks! Very happy with the purchase,True
B09G9CJM1Z,"Reviewed in the United States on November 2, 2023",5.0,"From the moment I unboxed the Apple iPad 9th Generation, I knew it was something special. The sleek design and the brilliant 10.2-inch Retina display",A Stellar Blend of Power and Portability - Apple iPad 9th Gen,True
B09G9CJM1Z,"Reviewed in the United States on November 18, 2023",5.0,"Great little iPad. I had an iPad 2 for years, and loved it. It began to have issues, and I really wasn’t happy about having",Great for us “non-tech” people,True
B09G9CJM1Z,"Reviewed in the United States on November 20, 2023",5.0,"Use my tablet for work, reading and streaming video games. It has a decent battery life and charges really fast. Got this one because it",Great value,True
B09G9CJM1Z,"Reviewed in the United States on November 7, 2023",4.0,"Does almost everything you want an iPad to do, supports all of the apps that I have seen or used, has a good size screen",Good budget choice as the lowest-priced current iPad,True
B09G9CJM1Z,"Reviewed in the United States on November 19, 2023",5.0,"This is our 3rd iPad since the advent of iPads, and the 9th generation iPad is wonderful. It does everything we need and is extremely",A great device…,True
B09G9CJM1Z,"Reviewed in the United States on November 14, 2023",5.0,"I've never had an iPad before, but got this for class. I'm not sure anybody really needs convincing to buy an iPad, but if you're",Awesome!,True
B09G9CJM1Z,"Reviewed in the United States on November 2, 2023",5.0,Let me start by saying I HATE APPLE products. But the iPad is the exception. So nice that I ended up buying 2 of them.,Aaaaaaaawesome!!!,True
B09G9CJM1Z,"Reviewed in the United States on November 13, 2023",5.0,i was buying this the same time i was buying my macbook and i was a little hesitant but after purchasing i fell in love!,i love it,True
B0BJLFC67L,"Reviewed in the United States on November 18, 2023",5.0,"Coming from the M1 iPad Air, upgrading to this new M2 iPad Pro with the larger and better screen, is definitely quite the upgrade. Screen",One of the BEST Tablets out there!,True
B0BJLFC67L,"Reviewed in the United States on October 6, 2023",5.0,"I made the leap into the Apple iPad world when I purchased the Apple iPad Pro 12.9-inch (6th Generation) with the M2 chip in August,",A Game Changer For My Studies,True
B0BJLFC67L,"Reviewed in the United States on November 8, 2023",5.0,There is nothing not to like about the big screen iPad Pro.It is extremely powerful. The display is fantastic. And the stereo is great.The virtual,A great tablet computer,True
B0BJLFC67L,"Reviewed in the United States on November 15, 2023",5.0,I wish there was an option for Amazon to leave the package without required password. Also if not home be on standby for a phone,Must be home to receive package,True
B0BJLFC67L,"Reviewed in the United States on October 10, 2023",5.0,I ordered this new iPad Pro 6th generation 12.9 inch brand new as well as the apple pencil second gen. I tell anyone who's going,Happy Artist Here 😁,True
B0BJLFC67L,"Reviewed in the United States on October 12, 2023",4.0,"I'm normally a desktop, windows, and android person and rarely ever travel with a device other than my phone. I bought the iPad because I",I like this,True
B0BJLFC67L,"Reviewed in the United States on October 31, 2023",5.0,My husband has been nursing along his old iPad for some time. The screen was cracked and it was extremely slow. So I surprised him,It was a gift,True
B0BJLFC67L,"Reviewed in the United States on November 17, 2023",5.0,"Luv! Ultra long battery life. Got the 2T model because I do a lot of papers, photos, and videos.",Awesome !!,True
B0BJLFC67L,"Reviewed in the United States on November 2, 2023",4.0,Needed something portable but powerful enough to do some basic video editing on the go. This iPad gets it done in style.One thing to watch,"First iPad, impressed.",True
B0BJLFC67L,"Reviewed in the United States on October 16, 2023",5.0,Every Apple product I have owned has been a good quality product and this is no exception. Unfortunately some of the iPads and newer phones,Typical great Apple quality and high price,True
B09G91LXFP,"Reviewed in the United States on July 15, 2023",5.0,"This is my third iPad. My first was an iPad Pro from 2017, second was my iPad Air 5th generation, and then this little guy.",Perfect for carrying with me everywhere!,True
B09G91LXFP,"Reviewed in the United States on August 25, 2023",5.0,"I recently acquired an Apple iPad, and I am absolutely thrilled with its performance and versatility. This device has exceeded my expectations in every way",Exceptional Device for Work and Play - Apple iPad Review,True
B09G91LXFP,"Reviewed in the United States on October 9, 2023",4.0,"First of all, a tablet is certainly the most important or its screen, and ipadmini's screen is precisely the entire ipad product line in the",Flawless? No... It's really not cheap and that's the only downside I guess,True
B09G91LXFP,"Reviewed in the United States on October 8, 2021",3.0,"I've had an iPad Mini 4, 5 and now 6. I use them in the cockpit of a small plane, which is one thing Apple",Kind of a dud of an update,True
B09G91LXFP,"Reviewed in the United States on October 25, 2023",5.0,I initially ordered this on prime but it took 10 days to deliver? Stopped that order and repurchased because it would now be here in,Flawless,True
B09G91LXFP,"Reviewed in the United States on September 18, 2023",4.0,I love the size and the use I get out of it is exactly what it was intended for. I use it mostly for taking,Great purchases,True
B09G91LXFP,"Reviewed in the United States on October 19, 2023",5.0,I already had a full-sized IPad but wanted something I could more easily handle to read books and magazines online in bed. It is so,Easier to Handle,True
B09G91LXFP,"Reviewed in the United States on November 16, 2023",5.0,"Excelente tablet, muy rápida, imagen de calidad y liviana y poderosa",iPad mini gen 6,True
B09G91LXFP,"Reviewed in the United States on November 16, 2023",5.0,fast and cool,it's good,True
B09G91LXFP,"Reviewed in the United States on August 31, 2023",4.0,"Love this iPad, almost without issue.I give the iPad 5⭐ as it relates to visual, performance, speed, processor, storage, etc.Only 2 ⭐ when it comes",Excellent Tablet TERRIBLE Battery,True
B09G9CJM1Z,"Reviewed in the United States on October 17, 2023",4.0,"In the product summary there are clearly pictures of the Apple Pen and Apple keyboard. Under ""About this item"", it includes a detailed description of",Good value for the money,True
B09G9CJM1Z,"Reviewed in the United States on July 23, 2023",5.0,"The Apple iPad (9th Generation) is a powerhouse device that sets a new standard for versatility, performance, and portability. Whether you're a student, a creative",Unleash Your Creativity and Productivity - Apple iPad (9th Generation) Redefines Versatility,True
B09G9CJM1Z,"Reviewed in the United States on October 21, 2023",5.0,I had a Fire 7” pad that worked OK for years and for the money did good but the this IPad is just much better.,GGGGGREAT,True
B09G9CJM1Z,"Reviewed in the United States on November 20, 2023",5.0,"This was a new iPad and I’m really enjoying my purchase. It was a great deal and came on time. Everything was in the box,",New Device,True
B09G9CJM1Z,"Reviewed in the United States on July 22, 2023",5.0,My old Ipad Pro hasn’t worked for over a year and I also needed a new computer - but didn’t need anything as sophisticated as,Nice IPad.  Larger than I thought it would be but easy to carry in a bag,True
B09G9CJM1Z,"Reviewed in the United States on November 4, 2023",5.0,Setup on second was a dog and pony due to Apple IOS 17 install - which is an Apple issue not Amazon or the Ipad.,So good I have purchased 2 and thinking about a third,True
B09G9CJM1Z,"Reviewed in the United States on November 14, 2023",5.0,I had been wanting an Ipad for so long. I really wanted the pink one but I settled for this one and its great. Comes,Love Love Love My Ipad,True
B09G9CJM1Z,"Reviewed in the United States on October 10, 2023",5.0,"My old iPad was over 15+ years old and even though it still worked, I felt I wanted a new iPad. Love this one! Color",Replaced my old iPad with this!,True
B09G9CJM1Z,"Reviewed in the United States on November 5, 2023",5.0,"I bought this iPad back in March of 2023. I’ve been using it regularly since then with no issues, once I figured things out -","Great investment, you won’t be let down!",True
B09G9CJM1Z,"Reviewed in the United States on October 6, 2023",5.0,I Purchased an iPad years ago at least 10-12 years ago and just hardly ever used. It wasn’t impressed with it at all. Recently purchased,Love this iPad,True
B0BJLFC67L,"Reviewed in the United States on October 10, 2023",5.0,"If you have a previous model you’ve logged in keep it near the new unit.It’ll opt for an image scan , and you’ll get options","It’s like having a race car , revved and ready to go.",True
B0BJLFC67L,"Reviewed in the United States on November 4, 2023",5.0,This was a great upgrade….it’s fast this pad can do a-lot more than my old unit….I would highly recommend,This iPad is a monster…,True
B0BJLFC67L,"Reviewed in the United States on November 4, 2023",4.0,"Not thrilled with battery life when left sitting unused, life seem to be the same the 7 year old IPad it replaced.",Apple,True
B0BJLFC67L,"Reviewed in the United States on October 31, 2023",5.0,"Easy to use, millions of apps, crystal clear display. The best you can buy. Had a Samsung android tablet previously that can’t compare with this",This tablet sets the standard for all others,True
B0BJLFC67L,"Reviewed in the United States on March 22, 2023",5.0,"Coming from a 2018 iPad Pro 11, I wasn’t sure it would be worth an upgrade, but decided to try it anyways after I started",Near Perfect Laptop Replacement for Most Users,True
B0BJLFC67L,"Reviewed in the United States on November 8, 2023",5.0,No complaints. Works great. Sleek look and fast speeds.,Favorite IPad by far,True
B0BJLFC67L,"Reviewed in the United States on October 14, 2023",5.0,"Still getting acquainted with the Apple system (longtime Android guy), but am very impressed to date. Got it for use in court; will update review",Crystal clear graphics - impressive numbers of features,True
B0BJLFC67L,"Reviewed in the United States on November 6, 2023",5.0,Tablet is smooth and light,Came is fine,True
B0BJLFC67L,"Reviewed in the United States on October 19, 2023",5.0,"New in box as soon as I signed in with my Apple ID it came with 3 months of Apple Arcade, Apple News just like",Brand new just like it came from apple,True
B0BJLFC67L,"Reviewed in the United States on October 9, 2023",5.0,The addition of Face ID on this unit (which replaced my original iPad Pro) removes the need to continually try to get Touch ID to,Face ID makes signing on a breeze!,True
B09G91LXFP,"Reviewed in the United States on November 1, 2023",5.0,Like the size. I use it mainly for reading.,Works as described,True
B09G91LXFP,"Reviewed in the United States on October 30, 2023",5.0,Ease of use. Great battery life.,Love this ipad. Very light,True
B09G91LXFP,"Reviewed in the United States on October 26, 2023",5.0,I love how it’s easy to carry and etc love love love,It works well,True
B09G91LXFP,"Reviewed in the United States on October 22, 2023",4.0,Loved the price ($399) on prime day. Did not receive color ordered (purple) - got grey instead - but not a big deal since I,Good deal on sale for prime day!,True
B09G91LXFP,"Reviewed in the United States on October 27, 2023",5.0,"Nothing to dislike, compact does and performsExactly",Excellent tablet,True
B09G91LXFP,"Reviewed in the United States on October 11, 2023",5.0,The A15 chip is super fast and allows multiple apps to be used without any slowdown. I upgraded from a 3rd gen iPad mini and,Small but powerful tablet,True
B09G91LXFP,"Reviewed in the United States on October 5, 2023",5.0,"I was hesitant to buying a used Ipad on here. I did and the Ipad was in amazing conditions, reset and ready to sign into.",USED IPAD,True
B09G91LXFP,"Reviewed in the United States on September 4, 2023",5.0,"I bought this a few days ago because my 2nd Gen iPad Mini, though still functioning beautifully, now has reached the limit of its iOS",Apple seems to make lovely products,True
B09G91LXFP,"Reviewed in the United States on October 30, 2023",5.0,Used for work,All was in order,True
B09G91LXFP,"Reviewed in the United States on July 13, 2023",5.0,The first thing that impressed me about the Ipad mini is the weight and how it feels to hold it in one hand. You can,"Nice weight, feels good to hold.",True
B09G9CJM1Z,"Reviewed in the United States on September 17, 2023",5.0,I carefully researched for an iPad that would be compatible for drawing and sketching because I love creating art. This ipad was affordable and works,Love It!,True
B09G9CJM1Z,"Reviewed in the United States on October 17, 2023",5.0,I got this for school and it works well. It helps me write notes and what not. Thin and isn’t too heavy. Pairs well with,Good for school,True
B09G9CJM1Z,"Reviewed in the United States on October 5, 2023",5.0,"I can 3D sculpt, I can draw, I can do some simple cad. I can even animate or just watch some shows. Or even use",I can do everything I want on it,True
B09G9CJM1Z,"Reviewed in the United States on October 14, 2023",5.0,I needed a new iPad and chose this slightly older version due to price. My only regret was that I should have chosen one with,Good value for new iPad,True
B09G9CJM1Z,"Reviewed in the United States on November 12, 2023",5.0,Got this for my fitness plus content be happier. Better than joining a gym. Can use this when the tv is occupied. And it’s a,Finally,True
B09G9CJM1Z,"Reviewed in the United States on October 16, 2023",5.0,"Grandson had a Mini-4, broke the screen but was limping through it so was going to buy a refurbished Mini-4 but this deal on this",Oh Ya,True
B09G9CJM1Z,"Reviewed in the United States on October 18, 2023",5.0,This ipad came new and in box it was also charged to 64% as well i’ve had it for 4-5 days now and I can,Great Product,True
B09G9CJM1Z,"Reviewed in the United States on November 1, 2023",5.0,This Apple I Pad has been a joy to use!I am new to I Pads and I have yet to get stuck in programming this,9th Gen Apple I Pad Review,True
B09G9CJM1Z,"Reviewed in the United States on November 2, 2023",5.0,My grandma isn’t technically savvy but she wanted a way to stay in touch through social media. The Apple IOS is such a simple environment,Purchased for my grandma 🥰,True
B09G9CJM1Z,"Reviewed in the United States on September 3, 2023",5.0,I needed a basic iPad that would work for my small children and not cost me an arm and a leg. This is Apple's cheapest,Works great for the kids,True
B0BJLFC67L,"Reviewed in the United States on October 12, 2023",5.0,"I love my iPad, so far it has worked great for me as a second device to travel and work with.I am very happy with",iPad 12.9 6th Gen,True
B0BJLFC67L,"Reviewed in the United States on October 20, 2023",5.0,Works great out of the box. Intuitive. No issues so far.,Works great,True
B0BJLFC67L,"Reviewed in the United States on October 21, 2023",5.0,Great for drawing on love it,Tablet,True
B0BJLFC67L,"Reviewed in the United States on September 27, 2023",4.0,"My volume control buttons are reversed. It's supposed to be new so hopefully it is, it looks new. Other than that it works perfectly.",Volume control,True
B0BJLFC67L,"Reviewed in the United States on September 25, 2023",5.0,"It is used in my insurance business for taking Medicare and other health applications. So far I love it - no spam in emails, no",Dependable IPad Pro,True
B0BJLFC67L,"Reviewed in the United States on October 12, 2023",5.0,Love it but very large and makes handles it slightly difficult,I pad,True
B0BJLFC67L,"Reviewed in the United States on October 15, 2023",5.0,Display is great. The weight and performance is all good.,My great grandson loves it. It is a birthday gift for him and he was excited.,True
B0BJLFC67L,"Reviewed in the United States on September 24, 2023",5.0,My other I Pad was about to bite the dust. I wanted another 12.5 screen like I had. I looked and compared prices. Amazon’s prices,Great I Pad,True
B0BJLFC67L,"Reviewed in the United States on September 30, 2023",5.0,My kids took over my old ipad. Didn't realize how outdated it was!,Love the features!,True
B0BJLFC67L,"Reviewed in the United States on September 29, 2023",5.0,The packaging was great and this is the best I pad we have ever owned,Love Ipads,True
B09G91LXFP,"Reviewed in the United States on October 29, 2023",4.0,Great but the screen isn’t bright enough,Great but,True
B09G91LXFP,"Reviewed in the United States on October 19, 2023",5.0,My favorite tablet. I use it everyday and I love it.,Use it as much or more than my phone.,True
B09G91LXFP,"Reviewed in the United States on September 10, 2023",5.0,Honestly i bought it thinking i'll hate it since i mostly use android products but i was pleasantly surprised of how easy it is and,Love it,True
B09G91LXFP,"Reviewed in the United States on October 14, 2023",5.0,A little overpriced than regular ipad. Appe’s shrewd marketing decision I suppose.,"Convenient size, super nice tablet.",True
B09G91LXFP,"Reviewed in the United States on September 10, 2023",5.0,"super smal (id say the size of a composition notebook) l, portable, and lightweight. its a little bit overpriced but it was worth the money!!",super cute,True
B09G91LXFP,"Reviewed in the United States on October 7, 2023",3.0,"I have an iPad Pro 12.9"", mostly for reading music at the piano, and a new iPhone 15 Pro. I purchased the iPad Mini on","Wanted to love it, but...",True
B09G91LXFP,"Reviewed in the United States on November 4, 2022",5.0,"First let me tell you I was hesitant about buying an iPad Mini. I even considered buying an iPad Pro: I have had two 9.7""",I love this tiny toy!,True
B09G91LXFP,"Reviewed in the United States on October 10, 2023",5.0,I love it. Perfect size for travel works great around the house. Very good purchase.,Powerful,True
B09G91LXFP,"Reviewed in the United States on July 20, 2023",5.0,"First I will say that I wish there was an alternative, but there is no other small tablet that can compete with the iPad Mini",Nothing comes close,True
B09G9CJM1Z,"Reviewed in the United States on October 16, 2023",5.0,I bought this for my mother. She doesn’t need all the extras so I saw the price on this and definitely went for it! She’s,Excellent purchase,True
B09G9CJM1Z,"Reviewed in the United States on October 6, 2023",5.0,"The screen is wide enough. No need to strain your eyes. My kid uses it for his home work, project work and to watch cartoons.",Value for money,True
B09G9CJM1Z,"Reviewed in the United States on October 20, 2023",5.0,"I'm completely convinced the iPad we bought for my daughter was new. There wasn't 1 single mar, blemish, mark, scratch, NOTHING on the Pad. The",I'm convinced ours was new,True
B09G9CJM1Z,"Reviewed in the United States on November 15, 2023",5.0,Came in quick. It came in the right color and the right Gb. No scratchs or no cracks. It had the charger cable and box.,Came in fast,True
B09G9CJM1Z,"Reviewed in the United States on October 10, 2023",5.0,Purchased this device with a specific purpose in mind and that was to be able to slo-mo video my golf swing. Works great. Simple to,Great Value for the Price!,True
B09G9CJM1Z,"Reviewed in the United States on October 15, 2023",5.0,I use my iPad all the time since I don’t have a computer. My old one was at least six years old and the battery,Love my new iPad and got it at a great price on Prime Sale Day,True
B09G9CJM1Z,"Reviewed in the United States on September 7, 2023",4.0,I bought the 9th Generation for its price on Prime Day. I had to upgrade it to download from my iPhone 13 but that wasn’t,Nice but returned,True
B09G9CJM1Z,"Reviewed in the United States on October 16, 2023",5.0,Bought this as a gift and the receiver loved it! Can't go wrong with an Apple iPad. It arrived amazingly quickly in perfect condition.,Love it!,True
B09G9CJM1Z,"Reviewed in the United States on October 24, 2023",5.0,Mu husband used a 5+ year old Fire Tablet that was just dying a slow death. I bought him this iPad as a replacement and,Husband Loves his Fire Tablet Replacement,True
B0BJLFC67L,"Reviewed in the United States on April 26, 2023",5.0,"This IPad has been great. I’ve never owned something this expensive or fast, so it was a bit of a learning process for my uneducated","Works Great, Bought used not even a scratch",True
B0BJLFC67L,"Reviewed in the United States on September 26, 2023",5.0,Love apple products always a positive experience,Wonderful,True
B0BJLFC67L,"Reviewed in the United States on November 29, 2022",4.0,"The 2022 iPad Pro with the M2 chip is not perfect, but it is the best tablet on the market. And in this reviewer's humble",A Minimally Flawed Beast,True
B0BJLFC67L,"Reviewed in the United States on September 29, 2023",5.0,.,So far in love w/ new Ipad,True
B0BJLFC67L,"Reviewed in the United States on September 17, 2023",5.0,"The media could not be loaded. My daughter will be using IPad for her cricket! Set was easy, works fast, place to put your pen,","Great size, easy set, fast with apps, very nice!",True
B0BJLFC67L,"Reviewed in the United States on June 25, 2023",5.0,"At first I thought do I really need the 12.9 inch ,coming from the 10.2 I thought,I’d try it first from Amazon ,for 30 days","Wow ,I Love The Size of 12.9 ,So much To SEE !",True
B0BJLFC67L,"Reviewed in the United States on July 17, 2023",4.0,I have a several years old ipad Pro 11. It seems as fast as my new 12.9 and the screen looks as sharp and bright.,Consider the size and weight before buying,True
B0BJLFC67L,"Reviewed in the United States on September 11, 2023",5.0,M2 chip is very fast. Best ipad i;ve had but also most exxpensive. worth it,best of the best,True
B0BJLFC67L,"Reviewed in the United States on August 30, 2023",5.0,"I am really happy about my purchase, it’s a gift for my mother in law, there is nothing to complain about it!.We all have iPads",iPad Pro 6th generation,True
B09G91LXFP,"Reviewed in the United States on September 13, 2023",4.0,"As stated in the headline, no home button. You sort of have to fling things off the screen. If you like that, it probably works",The removal of the home button is a problem.,True
B09G91LXFP,"Reviewed in the United States on September 25, 2023",5.0,Find not issues and works perfect. I like how I can use this easily for work. I would recommend this for students and medical/health students,Amazing!!,True
B09G91LXFP,"Reviewed in the United States on July 10, 2023",4.0,At first I was curious and OMG I LOVE IT SO MUCH but I receive THE WRONG COLOR but I LOVE PURPLE which I got,GREAT IPAD,True
B09G91LXFP,"Reviewed in the United States on June 26, 2023",5.0,"What I use it for:- Note Taking- Planner/Calendar- Media Consumption (Video, books, games)- Communication (Email, Other apps)- SketchingThoughts:An overall great device, despite being a 2021",Perfect device for my use case!,True
B09G91LXFP,"Reviewed in the United States on October 1, 2023",5.0,"Not too big not too small, just the right size to fit your hands",Best mini,True
B09G91LXFP,"Reviewed in the United States on April 24, 2023",4.0,This mini is great - except be aware that if you need to do a return it could be challenging to say the least. I,Buy Apple support!,True
B09G91LXFP,"Reviewed in the United States on September 2, 2023",5.0,I am a senior citizen and struggle with the setup instructions some times ~ BUT THIS in my “Saving Grace”! It was easy to setup!,A Saving Grace,True
B09G91LXFP,"Reviewed in the United States on October 8, 2023",5.0,good quality,new,True
B09G91LXFP,"Reviewed in the United States on September 17, 2023",5.0,I bought this unit as a designated control for our audio system on our new yacht as suggested by the builders tech guy. So far,Controls our audio.,True
B09G91LXFP,"Reviewed in the United States on October 2, 2023",5.0,Awesome product and works well.,Mini ipad 6th gen,True
B09G9CJM1Z,"Reviewed in the United States on October 24, 2023",5.0,I didn't want to spend the money on a 10th generation iPad. This 9th generation is just great. It fits all my needs perfectly. I,Great Device - Last Generation,True
B09G9CJM1Z,"Reviewed in the United States on October 28, 2023",5.0,I love this iPad. It can handle anything I throw at it and should last many years. It's well worth the price for an older,Well worth the money!,True
B09G9CJM1Z,"Reviewed in the United States on October 10, 2023",5.0,"For over a decade, I thought anyone who spent the money on an iPad was an idiot. I bought one Android tablet after another because",SOOOOOO much better than cheap Android tablets,True
B09G9CJM1Z,"Reviewed in the United States on October 4, 2023",5.0,I am not a tech person. Functions for this tablet was extremely easy to learn. Synched easily with my Apple I-Phone. I liked the price.,Syncs With Apple I-Phone,True
B09G9CJM1Z,"Reviewed in the United States on November 12, 2023",5.0,Our iPad crashed during work one day and this came in quickly and ready to go. Packaging was normal for an Apple product. Simply logged,Perfect for what we need,True
B09G9CJM1Z,"Reviewed in the United States on October 22, 2023",5.0,"Very happy, I thought I had the wrong power cable, did not push hard enough to insert the cable! Go it now!",HAPPY,True
B09G9CJM1Z,"Reviewed in the United States on October 10, 2023",5.0,Well this iPad is miles ahead of my old iPad. It changed my old habit of just using the iPad for playing games.,Great device!,True
B09G9CJM1Z,"Reviewed in the United States on September 30, 2023",5.0,I don't know much about the electronics. This ipad is amazing with the price it comes. I thought ipad were expensive but as I found,Amazing,True
B09G9CJM1Z,"Reviewed in the United States on November 17, 2023",5.0,Got it for my wife and when we FINALLY got the download she's loving everything about it. Used it ALL day without recharge.,Wifey LOVES it!,True
B09G9CJM1Z,"Reviewed in the United States on November 10, 2023",5.0,Charges quick huge screen value for the money storage memory storage perfect what I need easy to operate my wife loves it use it for,Apple iPad,True
B0BJLFC67L,"Reviewed in the United States on September 15, 2023",5.0,YES 💯🙌 works like you just walked into apple and broke the plastic off! Absolutely Perfect condition!!,Like new?,True
B0BJLFC67L,"Reviewed in the United States on September 5, 2023",5.0,"I am so happy with this iPad. Using it as I type! Large screen, easily set up, holds a good charge. Beautiful colors on screen!",In LOVE,True
B0BJLFC67L,"Reviewed in the United States on August 20, 2023",5.0,I bought this to replace my aging Samsung S8+. It kept crashing so I got this one and it works well with Chrome without problems,Works well,True
B0BJLFC67L,"Reviewed in the United States on June 16, 2023",5.0,"I had a first gen iPad Pro I got back in 2015 which I use pretty much exclusively for art, and tech has come a",Fantastic Product,True
B0BJLFC67L,"Reviewed in the United States on September 13, 2023",5.0,Excellent product,It’s exactly what I expected,True
B0BJLFC67L,"Reviewed in the United States on July 18, 2023",5.0,"So I was skeptical about buying, because come on, it’s Amazon lol. But I absolutely love the iPad, very expensive considering prices from other dealers",Skeptical,True
B0BJLFC67L,"Reviewed in the United States on August 23, 2023",5.0,"This is my first iPad and I am in LOVE. it runs so smooth and paired with the apple pencil, there is pretty much zero",Yes! 100% yes.,True
B0BJLFC67L,"Reviewed in the United States on August 17, 2023",5.0,What can I say apple makes a good product. Alway has up to date experience The transfer took Ten minutes. And I had 60 gig,I pad pro is sweet,True
B0BJLFC67L,"Reviewed in the United States on July 16, 2023",5.0,I bought this with the intention of using it for digital art and I was not disappointed. It's a great device. A lightweight and compact,Best purchase I've made,True
B0BJLFC67L,"Reviewed in the United States on July 31, 2023",4.0,Works,Works,True
B09G91LXFP,"Reviewed in the United States on September 1, 2023",4.0,"I love this 6th generation iPad mini, except for the battery life. I have to charge it twice a day. The battery on my old",poor battery life,True
B09G91LXFP,"Reviewed in the United States on June 24, 2023",5.0,"Been an Apple user since 1980, and most Apple devices over time. This model of iPad mini, is another super hit on the small tablet","Works super well, and is worth the price",True
B09G91LXFP,"Reviewed in the United States on May 28, 2023",5.0,So I'm a pretty big techie and love new tech. I currently am using an iPad mini 5 and I got this originally to see,"Great iPad, but did Return",True
B09G91LXFP,"Reviewed in the United States on September 30, 2023",5.0,Excellent item with excellent features.,It is not a cell-phone.,True
